Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
MMM,3M Company,156.12,89810,1900,Health Care,Medical-Dental Instruments,https://www.nasdaq.com/symbol/mmm
CLX,Clorox Company (The),156.96,19740,1900,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/clx
WSO,Watsco Inc.,158.32,6030,1900,Consumer Durables,Industrial Machinery Components,https://www.nasdaq.com/symbol/wso
PH,Parker-Hannifin Corporation,158.56,20340,1900,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/ph
HSY,Hershey Company (The),159.05,33330,1900,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/hsy
UNP,Union Pacific Corporation,159.11,112100,1900,Transportation,Railroads,https://www.nasdaq.com/symbol/unp
BFAM,Bright Horizons Family Solutions Inc.,163.87,9540,2013,Miscellaneous,Other Consumer Services,https://www.nasdaq.com/symbol/bfam
BABA,Alibaba Group Holding Limited,165.9,431930,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/baba
ADP,Automatic Data Processing Inc.,166.81,72390,1900,Technology,EDP Services,https://www.nasdaq.com/symbol/adp
GD,General Dynamics Corporation,184.65,53340,1900,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/gd
QQQ,Invesco QQQ Trust Series 1,184.82,71170,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/qqq
LIN,Linde plc,184.92,99970,2018,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/lin
POOL,Pool Corporation,195.92,7820,1995,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/pool
EL,Estee Lauder Companies Inc. (The),200.16,72430,1995,Consumer Non-Durables,Package Goods-Cosmetics,https://www.nasdaq.com/symbol/el
PANW,Palo Alto Networks Inc.,203.65,19550,2012,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/panw
AMGN,Amgen Inc.,205.41,123180,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/amgn
AAPL,Apple Inc.,206.49,933170,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl
ASML,ASML Holding N.V.,213.99,90120,1995,Technology,Industrial Machinery Components,https://www.nasdaq.com/symbol/asml
CME,CME Group Inc.,214.64,76860,2002,Finance,Investment Bankers-Brokers-Service,https://www.nasdaq.com/symbol/cme
MCD,McDonald&#39;s Corporation,216.91,164730,1900,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/mcd
HD,Home Depot Inc. (The),218.65,240580,1900,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/hd
NEE,NextEra Energy Inc.,223.62,107140,1900,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nee
AMT,American Tower Corporation (REIT),230.07,101850,1900,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt
UNH,UnitedHealth Group Incorporated,231.08,218990,1900,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/unh
GWW,W.W. Grainger Inc.,267.47,14600,1900,Consumer Services,Office Equipment-Supplies-Services,https://www.nasdaq.com/symbol/gww
